experiment,part,deposition
1100_2023_03_12_aggregates_downUpshift_glu_2_0_twice_gcd2_gcd6_gcn3_gcd7_sui2_00,1,14187308
1100_2023_03_12_aggregates_downUpshift_glu_2_0_twice_gcd2_gcd6_gcn3_gcd7_sui2_00,2,14187447
1238_2023_03_19_starve_twice_glu_2_0_2_0_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,1,14187631
1238_2023_03_19_starve_twice_glu_2_0_2_0_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,2,14187765
16545_2019_07_16_aggregates_CTP_switch_2_0glu_0_0glu_URA7young_URA8young_URA8old_secondRun_01,1,14187820
16545_2019_07_16_aggregates_CTP_switch_2_0glu_0_0glu_URA7young_URA8young_URA8old_secondRun_01,2,14187963
19129_2020_09_06_DownUpshift_2_0_2_glu_ura_mig1msn2_phluorin_00,1,14187982
19129_2020_09_06_DownUpshift_2_0_2_glu_ura_mig1msn2_phluorin_00,2,14188123
19144_2020_09_07_DownUpshift_2_0_2_glu_ura_mig1msn2_phluorin_secondRound_00,1,14188206
19144_2020_09_07_DownUpshift_2_0_2_glu_ura_mig1msn2_phluorin_secondRound_00,2,14188244
19169_2020_09_09_downUpshift_2_0_2_glu_ura8_phl_mig1_phl_msn2_03,1,14188312
19169_2020_09_09_downUpshift_2_0_2_glu_ura8_phl_mig1_phl_msn2_03,2,14188417
19203_2020_09_30_downUpshift_twice_2_0_2_glu_ura8_ura8h360a_ura8h360r_00,1,14188548
19203_2020_09_30_downUpshift_twice_2_0_2_glu_ura8_ura8h360a_ura8h360r_00,2,14188636
19203_2020_09_30_downUpshift_twice_2_0_2_glu_ura8_ura8h360a_ura8h360r_00,3,14188769
19232_2020_10_02_downUpshift_twice_2_0_2_glu_ura8_phluorinMsn2_phluorinMig1_01,1,14188819
19232_2020_10_02_downUpshift_twice_2_0_2_glu_ura8_phluorinMsn2_phluorinMig1_01,2,14188868
19232_2020_10_02_downUpshift_twice_2_0_2_glu_ura8_phluorinMsn2_phluorinMig1_01,3,14188961
19232_2020_10_02_downUpshift_twice_2_0_2_glu_ura8_phluorinMsn2_phluorinMig1_01,4,14189118
19307_2020_10_22_downUpshift_2_01_2_glucose_dual_pH__dot6_nrg1_tod6__00,1,14189201
19310_2020_10_22_downUpshift_2_0_2_glu_dual_phluorin__glt1_psa1_ura7__thrice_00,1,14189288
19310_2020_10_22_downUpshift_2_0_2_glu_dual_phluorin__glt1_psa1_ura7__thrice_00,2,14189432
19311_2020_10_23_downUpshift_2_0_2_glu_dual_phluorin__glt1_psa1_ura7__twice__04,1,14189505
19311_2020_10_23_downUpshift_2_0_2_glu_dual_phluorin__glt1_psa1_ura7__twice__04,2,14189600
19328_2020_10_31_downUpshift_four_2_0_2_glu_dual_phl__glt1_ura8_ura8__00,1,14189634
19328_2020_10_31_downUpshift_four_2_0_2_glu_dual_phl__glt1_ura8_ura8__00,2,14189728
19328_2020_10_31_downUpshift_four_2_0_2_glu_dual_phl__glt1_ura8_ura8__00,3,14189847
19447_2020_11_18_downUpshift_2_0_2_glu_gcd2_gcd6_gcd7__02,1,14189933
19447_2020_11_18_downUpshift_2_0_2_glu_gcd2_gcd6_gcd7__02,2,14190058
673_2023_02_13_proteinAggregates_starvation_2_0_twice_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,1,14190137
673_2023_02_13_proteinAggregates_starvation_2_0_twice_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,2,14190257
673_2023_02_13_proteinAggregates_starvation_2_0_twice_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,3,14190396
673_2023_02_13_proteinAggregates_starvation_2_0_twice_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,4,14190606
673_2023_02_13_proteinAggregates_starvation_2_0_twice_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,5,14190904
918_2023_02_28_starve_2_0_2_0_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,1,14191026
918_2023_02_28_starve_2_0_2_0_ura7ha_ura7hr_ura8_ura8ha_ura8hr_00,2,14191292
921_2023_03_01_aggregates_starve_twice_glu_2_0_gcd2_gcd6_gcd7_gcn3_sui2_00,1,14191444
921_2023_03_01_aggregates_starve_twice_glu_2_0_gcd2_gcd6_gcd7_gcn3_sui2_00,2,14191670
